index,ID,Model,ModelParameters,TransformationParameters,Ensemble,Runs,smape,mae,rmse,made,mage,custom,underestimate,mle,overestimate,imle,spl,containment,contour,maxe,oda,dwae,mqae,ewmae,uwmse,smoothness,mate,wasserstein,dwd,matse,smape_weighted,mae_weighted,rmse_weighted,made_weighted,mage_weighted,custom_weighted,mle_weighted,imle_weighted,spl_weighted,maxe_weighted,oda_weighted,dwae_weighted,mqae_weighted,ewmae_weighted,uwmse_weighted,smoothness_weighted,mate_weighted,wasserstein_weighted,dwd_weighted,matse_weighted,containment_weighted,contour_weighted,TotalRuntimeSeconds,Score,lowest_series_mape,lowest_series_mape_name,highest_series_mape,highest_series_mape_name
24.0,928048531c8e03d56b84e0110a7af50f,ARIMA,"{""p"": 0, ""d"": 0, ""q"": 3, ""regression_type"": null}","{""fillna"": ""cubic"", ""transformations"": {""0"": ""AlignLastDiff"", ""1"": ""Slice"", ""2"": ""RegressionFilter""}, ""transformation_params"": {""0"": {""rows"": 1, ""displacement_rows"": 1, ""quantile"": 1.0, ""decay_span"": 3}, ""1"": {""method"": 100}, ""2"": {""sigma"": 1, ""rolling_window"": 90, ""run_order"": ""season_first"", ""regression_params"": {""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {""l1_ratio"": 0.5, ""fit_intercept"": true, ""selection"": ""cyclic"", ""max_iter"": 1000}}, ""datepart_method"": ""recurring"", ""polynomial_degree"": 2, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""Discretize""}, ""transformation_params"": {""0"": {""discretization"": ""center"", ""n_bins"": 20}}}, ""holiday_countries_used"": false, ""lags"": 3, ""forward_lags"": null}, ""holiday_params"": null, ""trend_method"": ""rolling_mean""}}}",0,2,,84.08448620933291,105.79921641818723,0.7598077665170646,84.08448620933291,0.0,-4982.963391450862,83.16283074537216,62.105781109112044,4.692947518651858,0.17759159195903954,0.95,0.4666666666666667,275.0,0.43333333333333335,12.532102497720619,65.01107598311609,294.7080927449691,195.38760274485304,1.728596992851194,2460.428805170875,19.786615377363468,10.689380017717848,0.9653516945655297,0.0,84.08448620933291,105.79921641818723,0.7598077665170646,84.08448620933291,0.0,83.16283074537216,4.692947518651858,0.17759159195903954,275.0,0.43333333333333335,12.532102497720619,65.01107598311609,294.7080927449691,195.38760274485304,1.728596992851194,2460.428805170875,19.786615377363468,10.689380017717848,0.9653516945655297,0.95,0.4666666666666667,0.8455999999999999,13.833677353668204,120.82475925276125,Total,120.82475925276125,Total
,3b177ebdeb47c4eeb4977107ff454006,ARIMA,"{""p"": 4, ""d"": 0, ""q"": 3, ""regression_type"": null}","{""fillna"": ""pchip"", ""transformations"": {""0"": ""IntermittentOccurrence"", ""1"": ""bkfilter"", ""2"": ""MaxAbsScaler"", ""3"": ""Detrend"", ""4"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""center"": ""mean""}, ""1"": {}, ""2"": {}, ""3"": {""model"": ""Linear"", ""phi"": 0.999, ""window"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""ScipyFilter""}, ""transformation_params"": {""0"": {""method"": ""savgol_filter"", ""method_args"": {""window_length"": 31, ""polyorder"": 3, ""deriv"": 0, ""mode"": ""interp""}}}}}, ""4"": {""rows"": 1, ""lag"": 1, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false, ""threshold"": null, ""threshold_method"": ""max""}}}",0,2,80.0343104487488,49.71895618024652,65.82009458827233,0.8115071866924597,49.71895618024652,0.0,-1938.7430513350628,33.854718623525876,1044.3943194797291,19.315087690698313,0.20182769114125326,0.8666666666666667,0.55,225.57952063310282,0.6666666666666667,7.034138682606798,33.7881274407946,214.54637956284523,85.78855713902418,3.6703657138480015,476.102079486882,4.978638505229166,5.057694372664342,0.15449035618416498,80.0343104487488,49.71895618024652,65.82009458827233,0.8115071866924597,49.71895618024652,0.0,33.854718623525876,19.315087690698313,0.20182769114125326,225.57952063310282,0.6666666666666667,7.034138682606798,33.7881274407946,214.54637956284523,85.78855713902418,3.6703657138480015,476.102079486882,4.978638505229166,5.057694372664342,0.15449035618416498,0.8666666666666667,0.55,4.273,15.788091076102793,72.46164031233583,Total,72.46164031233583,Total
,928048531c8e03d56b84e0110a7af50f,ARIMA,"{""p"": 0, ""d"": 0, ""q"": 3, ""regression_type"": null}","{""fillna"": ""cubic"", ""transformations"": {""0"": ""AlignLastDiff"", ""1"": ""Slice"", ""2"": ""RegressionFilter""}, ""transformation_params"": {""0"": {""rows"": 1, ""displacement_rows"": 1, ""quantile"": 1.0, ""decay_span"": 3}, ""1"": {""method"": 100}, ""2"": {""sigma"": 1, ""rolling_window"": 90, ""run_order"": ""season_first"", ""regression_params"": {""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {""l1_ratio"": 0.5, ""fit_intercept"": true, ""selection"": ""cyclic"", ""max_iter"": 1000}}, ""datepart_method"": ""recurring"", ""polynomial_degree"": 2, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""Discretize""}, ""transformation_params"": {""0"": {""discretization"": ""center"", ""n_bins"": 20}}}, ""holiday_countries_used"": false, ""lags"": 3, ""forward_lags"": null}, ""holiday_params"": null, ""trend_method"": ""rolling_mean""}}}",0,2,,84.08448620933291,105.79921641818723,0.7598077665170646,84.08448620933291,0.0,-4982.963391450862,83.16283074537216,62.105781109112044,4.692947518651858,0.17759159195903954,0.95,0.4666666666666667,275.0,0.43333333333333335,12.532102497720619,65.01107598311609,294.7080927449691,195.38760274485304,1.728596992851194,2460.428805170875,19.786615377363468,10.689380017717848,0.9653516945655297,0.0,84.08448620933291,105.79921641818723,0.7598077665170646,84.08448620933291,0.0,83.16283074537216,4.692947518651858,0.17759159195903954,275.0,0.43333333333333335,12.532102497720619,65.01107598311609,294.7080927449691,195.38760274485304,1.728596992851194,2460.428805170875,19.786615377363468,10.689380017717848,0.9653516945655297,0.95,0.4666666666666667,0.8455999999999999,13.833677353668204,120.82475925276125,Total,120.82475925276125,Total
,c3a7c38d62790ebeac90d87b1c8ee986,ARIMA,"{""p"": 1, ""d"": 3, ""q"": 3, ""regression_type"": null}","{""fillna"": ""zero"", ""transformations"": {""0"": ""FFTDecomposition"", ""1"": ""bkfilter"", ""2"": ""MaxAbsScaler"", ""3"": ""RobustScaler"", ""4"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""n_harmonics"": 10, ""detrend"": ""quadratic""}, ""1"": {}, ""2"": {}, ""3"": {}, ""4"": {""rows"": 1, ""lag"": 1, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false, ""threshold"": null, ""threshold_method"": ""max""}}}",0,2,,74.51274209954649,96.35344165805617,0.755708441465073,74.51274209954649,0.0,-4447.814157998587,74.23565118277088,22.950367974202823,3.8429891743018443,0.4251944128795988,0.8166666666666667,0.5333333333333333,275.0,0.4666666666666667,11.353760646255422,55.50608123000218,278.8214306454379,162.2636060782474,2.6426360393050006,2212.4318950121915,16.893124154899283,8.699984096216783,0.8428728392621587,0.0,74.51274209954649,96.35344165805617,0.755708441465073,74.51274209954649,0.0,74.23565118277088,3.8429891743018443,0.4251944128795988,275.0,0.4666666666666667,11.353760646255422,55.50608123000218,278.8214306454379,162.2636060782474,2.6426360393050006,2212.4318950121915,16.893124154899283,8.699984096216783,0.8428728392621587,0.8166666666666667,0.5333333333333333,2.3573,19.003882536693872,115.24843252264492,Total,115.24843252264492,Total
