,Sarima Predictions
2024-04-03,1.9999214948675477
2024-04-04,6.999596761270458
2024-04-05,8.999787802321578
2024-04-06,8.00004945081403
2024-04-07,0.000634760592521868
2024-04-08,8.689658392827955e-05
2024-04-09,7.999383927765225
2024-04-10,0.0005438244963575074
2024-04-11,7.999447688677088
2024-04-12,0.0005614065112694118
2024-04-13,3.9998288041023398
2024-04-14,1.0002109159031354
2024-04-15,4.999808576972731
2024-04-16,13.25778368035275
2024-04-17,6.663384267493066
2024-04-18,-1.9162070883157094
2024-04-19,2.727770258762778
2024-04-20,10.271080937865149
2024-04-21,-0.9405904106366885
2024-04-22,8.269313443801217
2024-04-23,-0.7500959274890828
2024-04-24,6.520047807920761
2024-04-25,0.941022689361982
2024-04-26,4.012263539065351
2024-04-27,15.68146063707384
2024-04-28,4.451312639619594
2024-04-29,4.651420791045213
2024-04-30,6.181916469719223
2024-05-01,2.8780300859200953
2024-05-02,3.659257642804814
2024-05-03,1.4286744322804523
2024-05-04,6.924238330940513
2024-05-05,4.784270321468284
2024-05-06,2.956035766210592
2024-05-07,4.970616253759497
2024-05-08,5.033591000040058
2024-05-09,14.119169920728154
2024-05-10,10.428491543188938
2024-05-11,22.21913482138143
2024-05-12,11.581071592504236
2024-05-13,7.584368215249904
2024-05-14,12.63059593490582
2024-05-15,6.8445047426738945
2024-05-16,11.856086040229652
2024-05-17,9.331244237398181
2024-05-18,12.178895513239691
2024-05-19,9.561004634005279
2024-05-20,14.449144558585873
2024-05-21,18.39702491239138
2024-05-22,19.769447420156894
2024-05-23,7.871409084887741
2024-05-24,8.775079499770987
2024-05-25,5.152914490761278
2024-05-26,9.030073976121805
2024-05-27,4.964319955031892
2024-05-28,8.586620294667629
2024-05-29,9.237591707225231
2024-05-30,6.979369993622003
2024-05-31,6.7719675270556206
2024-06-01,13.542850874426367
2024-06-02,10.46208520030822
2024-06-03,16.06992075636911
2024-06-04,13.813604154085787
2024-06-05,8.773513589796725
2024-06-06,5.22161090412869
2024-06-07,12.240121883692119
2024-06-08,10.804658317016436
2024-06-09,8.693949177527418
2024-06-10,8.410680626503508
2024-06-11,8.334876722362797
2024-06-12,7.708681318575676
2024-06-13,13.469700157467521
2024-06-14,10.402109485607888
2024-06-15,25.601730849429963
2024-06-16,4.317518637728631
2024-06-17,4.6893467952603505
2024-06-18,6.188386802793054
2024-06-19,6.418324425934621
2024-06-20,6.323126697995609
2024-06-21,7.2831919425098315
2024-06-22,4.711620274335506
2024-06-23,5.141834521849197
2024-06-24,3.1901029851597538
2024-06-25,8.329339698100526
2024-06-26,10.161973270725948
2024-06-27,19.625154503998147
2024-06-28,2.663971662159949
2024-06-29,3.9881921711502777
2024-06-30,4.634748898980616
2024-07-01,4.639708973679849
2024-07-02,5.262359738948253
2024-07-03,5.171244138234199
2024-07-04,3.395389601816575
2024-07-05,4.246614833259677
2024-07-06,3.3359937349683517
2024-07-07,8.525575203570563
2024-07-08,5.422925486799902
2024-07-09,15.400799587039543
2024-07-10,2.338189369342394
2024-07-11,1.7941785933580947
2024-07-12,3.2606361111924795
2024-07-13,4.210866222890921
2024-07-14,2.5551971109263576
2024-07-15,3.4486857955383754
2024-07-16,2.980458200980915
2024-07-17,3.2350826477503416
2024-07-18,2.5775881883428875
2024-07-19,7.48103166430251
2024-07-20,5.154834748753363
2024-07-21,13.649301049671957
2024-07-22,1.2834446508988413
2024-07-23,0.5923915043868457
2024-07-24,7.613600037973594
2024-07-25,4.579058163650681
2024-07-26,2.6838824578936435
2024-07-27,5.8751205381204965
2024-07-28,2.659893981623108
2024-07-29,3.1469033865306675
2024-07-30,2.8416595604804815
2024-07-31,7.156349490409001
2024-08-01,5.400647770024303
2024-08-02,14.890772114596032
2024-08-03,2.4983290832281204
2024-08-04,4.607321439345348
2024-08-05,2.2292032399738955
2024-08-06,3.748817563858559
2024-08-07,3.574316965510315
2024-08-08,4.508047735832288
2024-08-09,2.6417688634725445
2024-08-10,3.4835914664187015
2024-08-11,2.742715314055056
2024-08-12,6.108720223063025
2024-08-13,4.676169162831062
2024-08-14,10.929847685641585
2024-08-15,1.087643960949313
2024-08-16,3.34020092598772
2024-08-17,2.285951290341176
2024-08-18,1.9621999548294702
2024-08-19,2.094776136510272
2024-08-20,3.0811341393315668
2024-08-21,2.0265332309359136
2024-08-22,1.4360662674690179
2024-08-23,2.4557310087701083
2024-08-24,5.033842886483477
2024-08-25,3.383683198747713
2024-08-26,8.77841444615851
2024-08-27,0.24817090960662092
2024-08-28,3.402069565054325
2024-08-29,1.4658803984019886
2024-08-30,1.3780509023339178
2024-08-31,1.854578848591919
2024-09-01,2.2857407832428898
2024-09-02,0.5001743489096598
2024-09-03,3.5129532534971535
2024-09-04,2.797280917066077
2024-09-05,5.713587176594734
2024-09-06,4.030402207667895
2024-09-07,8.866698950646729
2024-09-08,1.001050245876058
2024-09-09,2.807938601788996
2024-09-10,1.572637390529403
2024-09-11,1.842010657829022
2024-09-12,1.8849376559481015
2024-09-13,3.5071393821352927
2024-09-14,3.2647252866274528
2024-09-15,2.2530810449785252
2024-09-16,2.1672177254017586
2024-09-17,4.900096593406045
2024-09-18,3.2760322018181833
2024-09-19,7.3970202223308466
2024-09-20,1.349939862110027
2024-09-21,3.32217317266736
2024-09-22,1.1000783645071208
2024-09-23,1.0668348489463377
2024-09-24,1.9117006813021917
2024-09-25,2.5652105993853667
2024-09-26,2.0008109758881263
2024-09-27,2.1556849018620143
2024-09-28,1.9923145148386179
2024-09-29,3.252912162224002
2024-09-30,2.419944488809641
